8,30,18,13,7,14
36,9,30,15,2,8
24,30,1,41,8,27
2,8,5,45,9,31
28,21,7,5,20,13
9,13,4,30,20,43
3,35,43,4,15,20
5,19,35,29,13,44
35,22,44,20,9,8
40,8,37,22,23,9
21,29,25,13,12,4
21,17,4,41,22,29
41,14,24,27,29,42
16,14,13,34,19,6
38,16,27,30,19,19
2,3,22,24,26,6
42,10,32,34,38,14
18,24,31,42,8,3
42,2,32,31,14,28
18,39,20,10,5,32
33,30,38,36,20,4
36,29,32,10,37,20
10,26,20,32,34,16
26,25,15,30,8,12
6,37,31,42,7,41
37,44,25,41,33,18
21,19,1,11,9,7
31,22,4,2,43,3
6,41,4,22,40,32
4,4,28,41,13,22
26,34,4,28,39,24
39,36,24,25,4,39
45,9,5,13,2,20
20,11,42,2,9,13
33,37,15,44,31,9
32,11,40,28,17,12
14,12,30,43,34,38
11,24,38,26,12,43
32,43,13,14,30,25
24,13,2,18,42,14
28,19,24,3,42,45
10,8,12,32,21,33
7,43,18,21,24,33
21,31,37,11,23,39
6,4,10,26,24,23
45,25,20,34,30,19
5,3,9,38,19,43
13,5,37,42,35,38
13,6,43,24,44,22
11,36,24,41,39,3
22,36,18,17,15,19
39,27,17,38,11,31
20,1,31,9,28,3
38,13,28,40,15,1
1,43,13,44,8,39
4,5,44,19,17,14
2,6,27,43,35,19
2,6,28,35,20,5
2,6,2,41,16,19
16,13,22,37,27,6
44,43,22,31,41,27
4,40,31,31,22,5
31,5,30,20,2,22
10,33,11,13,8,4
10,33,22,31,24,35
45,15,42,38,10,35
16,1,23,18,38,45
9,2,12,18,24,39
29,9,30,6,13,11
16,40,33,9,36,25
38,33,12,41,35,8
31,39,41,25,34,41
8,34,4,39,37,41
16,32,22,8,4,26
42,19,32,21,18,15
35,42,12,13,25,17
29,33,18,42,27,13
43,14,21,7,42,38
30,23,10,32,2,3
3,32,43,25,45,6
6,3,42,3,15,9
39,25,34,20,33,15
4,21,15,45,33,23
22,15,32,29,45,21
43,10,12,29,27,33
36,29,19,38,8,40
8,23,43,44,3,15
44,43,32,31,30,18
11,6,28,35,29,8
28,39,26,44,27,38
28,38,43,19,34,23
42,22,25,23,14,44
14,6,3,25,31,18
4,9,18,11,40,38
9,40,9,28,26,25
6,24,21,32,5,2
9,5,41,2,2,8
1,16,31,18,45,44
8,23,39,2,38,31
22,33,19,2,31,10
13,21,41,16,31,11
40,26,30,32,27,11
31,7,36,30,16,24
38,16,24,8,37,4
38,14,31,12,6,16
14,19,2,39,20,12
1,20,33,38,26,37
27,3,24,25,7,8
13,12,27,36,1,44
16,42,12,13,14,38
34,2,6,45,40,17
4,28,15,34,20,2
33,13,28,4,34,41
7,45,8,28,13,4
4,37,24,3,41,32
3,37,33,17,27,2
15,31,40,14,8,11
42,6,15,3,21,26
28,44,43,6,35,34
6,41,10,33,9,42
28,30,26,24,8,6
8,30,32,26,39,22
14,12,28,24,38,41
28,8,31,11,38,24
7,10,45,35,6,31
29,16,3,40,26,31
17,27,10,16,30,19
34,16,19,28,27,8
8,18,15,11,16,16
23,38,37,29,40,35
9,23,35,44,39,24
32,13,4,31,29,3
19,31,24,41,8,16
5,21,13,41,17,11
22,4,13,23,30,37
19,37,13,23,45,16
26,25,12,23,37,7
10,37,40,17,2,8
26,10,38,42,37,40
7,28,12,44,22,37
37,12,25,19,12,5
2,15,28,8,37,30
13,28,17,14,27,19
13,37,34,41,27,3
10,30,18,15,21,37
36,7,10,37,20,31
28,20,13,9,31,14
15,45,43,28,24,33
4,36,37,33,42,13
40,27,42,7,16,36
7,16,19,34,42,21
18,7,16,13,36,26
26,16,10,1,35,26
23,25,4,2,45,38
40,25,20,25,10,44
41,18,21,34,38,10
6,42,18,22,34,39
34,38,35,37,40,30
36,22,31,19,18,34
36,21,5,29,33,34
40,38,13,5,45,25
31,33,4,16,7,2
16,18,2,5,33,42
16,29,39,10,11,15
41,9,25,23,8,19
19,33,5,4,42,18
33,26,12,42,41,1
2,9,12,25,23,10
36,22,28,23,21,27
32,13,40,43,17,35
9,38,37,20,27,30
25,2,1,27,44,36
36,25,21,12,9,5
43,36,11,34,4,42
9,30,32,31,24,5
27,25,43,17,45,9
42,20,34,27,8,19
17,36,40,34,18,42
43,33,26,2,20,31
29,23,33,2,2,5
7,33,35,30,13,33
22,23,21,12,7,40
5,7,13,33,28,34
12,13,3,15,10,29
42,45,10,38,14,28
28,25,33,17,6,14
20,43,30,15,14,38
30,40,28,35,29,5
17,7,5,2,29,43
13,30,9,39,23,7
9,35,45,15,41,21
31,1,42,21,33,22
3,28,14,31,15,17
21,14,3,28,40,35
24,22,39,21,15,10
38,1,3,45,10,41
3,26,20,42,1,19
18,45,17,14,2,15
40,13,22,39,8,2
27,2,13,32,24,23
3,40,4,14,19,37
24,28,37,38,27,1
37,10,39,24,35,32
20,31,10,32,12,17
35,32,25,31,27,14
25,2,27,5,3,11
45,25,4,43,13,42
10,13,33,42,9,35
33,40,8,12,32,6
22,38,43,15,12,24
11,1,16,18,21,4
30,27,12,15,31,3
45,11,32,27,7,30
35,26,11,29,21,41
